"","region","Var1","Var2","value"
"381","hippocampus","pipeline 5","pipeline 8",0.998967411490608
"382","hippocampus","pipeline 6","pipeline 8",0.970699710515105
"383","hippocampus","pipeline 7","pipeline 8",0.820788887476403
"384","hippocampus","pipeline 8","pipeline 8",1
"385","OFC","pipeline 1","pipeline 1",1
"386","OFC","pipeline 2","pipeline 1",0.997546841758594
"387","OFC","pipeline 3","pipeline 1",0.997989111815476
"388","OFC","pipeline 4","pipeline 1",0.9950548082112
"389","OFC","pipeline 5","pipeline 1",0.987567717879214
"390","OFC","pipeline 6","pipeline 1",0.960882425695485
"391","OFC","pipeline 7","pipeline 1",0.974775533541996
"392","OFC","pipeline 8","pipeline 1",0.961233797350439
"393","OFC","pipeline 1","pipeline 2",0.997546841758594
"394","OFC","pipeline 2","pipeline 2",1
"395","OFC","pipeline 3","pipeline 2",0.995850568745733
"396","OFC","pipeline 4","pipeline 2",0.997456174633328
"397","OFC","pipeline 5","pipeline 2",0.986097316491347
"398","OFC","pipeline 6","pipeline 2",0.958144081576755
"399","OFC","pipeline 7","pipeline 2",0.969069969408574
"400","OFC","pipeline 8","pipeline 2",0.957521267473113
"401","OFC","pipeline 1","pipeline 3",0.997989111815476
"402","OFC","pipeline 2","pipeline 3",0.995850568745732
"403","OFC","pipeline 3","pipeline 3",1
"404","OFC","pipeline 4","pipeline 3",0.996877253978398
"405","OFC","pipeline 5","pipeline 3",0.985652218872874
"406","OFC","pipeline 6","pipeline 3",0.960552875715405
"407","OFC","pipeline 7","pipeline 3",0.975271443000211
"408","OFC","pipeline 8","pipeline 3",0.958956392124423
"409","OFC","pipeline 1","pipeline 4",0.9950548082112
"410","OFC","pipeline 2","pipeline 4",0.997456174633327
"411","OFC","pipeline 3","pipeline 4",0.996877253978398
"412","OFC","pipeline 4","pipeline 4",1
"413","OFC","pipeline 5","pipeline 4",0.984866150482526
"414","OFC","pipeline 6","pipeline 4",0.957365797771587
"415","OFC","pipeline 7","pipeline 4",0.967670980470824
"416","OFC","pipeline 8","pipeline 4",0.958096464782944
"417","OFC","pipeline 1","pipeline 5",0.987567717879214
"418","OFC","pipeline 2","pipeline 5",0.986097316491347
"419","OFC","pipeline 3","pipeline 5",0.985652218872874
"420","OFC","pipeline 4","pipeline 5",0.984866150482526
"421","OFC","pipeline 5","pipeline 5",1
"422","OFC","pipeline 6","pipeline 5",0.972906854892221
"423","OFC","pipeline 7","pipeline 5",0.959966962859091
"424","OFC","pipeline 8","pipeline 5",0.984253091549825
"425","OFC","pipeline 1","pipeline 6",0.960882425695485
"426","OFC","pipeline 2","pipeline 6",0.958144081576755
"427","OFC","pipeline 3","pipeline 6",0.960552875715405
"428","OFC","pipeline 4","pipeline 6",0.957365797771587
"429","OFC","pipeline 5","pipeline 6",0.972906854892221
"430","OFC","pipeline 6","pipeline 6",1
"431","OFC","pipeline 7","pipeline 6",0.982055914312221
"432","OFC","pipeline 8","pipeline 6",0.955182778292949
"433","OFC","pipeline 1","pipeline 7",0.974775533541997
"434","OFC","pipeline 2","pipeline 7",0.969069969408573
"435","OFC","pipeline 3","pipeline 7",0.975271443000211
"436","OFC","pipeline 4","pipeline 7",0.967670980470824
"437","OFC","pipeline 5","pipeline 7",0.959966962859091
"438","OFC","pipeline 6","pipeline 7",0.982055914312221
"439","OFC","pipeline 7","pipeline 7",1
"440","OFC","pipeline 8","pipeline 7",0.932807970381583
"441","OFC","pipeline 1","pipeline 8",0.961233797350439
"442","OFC","pipeline 2","pipeline 8",0.957521267473113
"443","OFC","pipeline 3","pipeline 8",0.958956392124423
"444","OFC","pipeline 4","pipeline 8",0.958096464782944
"445","OFC","pipeline 5","pipeline 8",0.984253091549826
"446","OFC","pipeline 6","pipeline 8",0.955182778292949
"447","OFC","pipeline 7","pipeline 8",0.932807970381583
"448","OFC","pipeline 8","pipeline 8",1
"449","SFC","pipeline 1","pipeline 1",1
"450","SFC","pipeline 2","pipeline 1",0.99743895827793
"451","SFC","pipeline 3","pipeline 1",0.994553532687198
"452","SFC","pipeline 4","pipeline 1",0.992011907793478
"453","SFC","pipeline 5","pipeline 1",0.865614363073289
"454","SFC","pipeline 6","pipeline 1",0.239857706886957
"455","SFC","pipeline 7","pipeline 1",0.889024920927784
"456","SFC","pipeline 8","pipeline 1",0.721864149009528
"457","SFC","pipeline 1","pipeline 2",0.99743895827793
"458","SFC","pipeline 2","pipeline 2",1
"459","SFC","pipeline 3","pipeline 2",0.992333114516718
"460","SFC","pipeline 4","pipeline 2",0.995339761271581
"461","SFC","pipeline 5","pipeline 2",0.866418274635691
"462","SFC","pipeline 6","pipeline 2",0.245158603340477
"463","SFC","pipeline 7","pipeline 2",0.886052715518855
"464","SFC","pipeline 8","pipeline 2",0.715916394017288
"465","SFC","pipeline 1","pipeline 3",0.994553532687198
"466","SFC","pipeline 2","pipeline 3",0.992333114516718
"467","SFC","pipeline 3","pipeline 3",1
"468","SFC","pipeline 4","pipeline 3",0.995819804639811
"469","SFC","pipeline 5","pipeline 3",0.861887211627576
"470","SFC","pipeline 6","pipeline 3",0.247518912032804
"471","SFC","pipeline 7","pipeline 3",0.888695305240465
"472","SFC","pipeline 8","pipeline 3",0.718234739465959
"473","SFC","pipeline 1","pipeline 4",0.992011907793478
"474","SFC","pipeline 2","pipeline 4",0.995339761271581
"475","SFC","pipeline 3","pipeline 4",0.995819804639811
"476","SFC","pipeline 4","pipeline 4",1
"477","SFC","pipeline 5","pipeline 4",0.863492758739951
"478","SFC","pipeline 6","pipeline 4",0.25724676166431
"479","SFC","pipeline 7","pipeline 4",0.887340441230505
"480","SFC","pipeline 8","pipeline 4",0.714608381835173
"481","SFC","pipeline 1","pipeline 5",0.865614363073289
"482","SFC","pipeline 2","pipeline 5",0.866418274635691
"483","SFC","pipeline 3","pipeline 5",0.861887211627576
"484","SFC","pipeline 4","pipeline 5",0.863492758739951
